"site","job_url","job_url_direct","title","company","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","emails","description","company_url","company_url_direct","company_addresses","company_industry","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269323887","","Senior Backend Engineer","Mindworks","San Francisco, CA","","2024-05-08","yearly",100000.0,300000.0,"USD",False,"careers@mindworks.com","**Title**: Sr. Back End Engineer  
**Location**: San Francisco, CA  
**Note: Must be located within 75 miles of San Francisco.**  
**Flexible – Remote, Hybrid, or Office (SF Bay Area Office - Salesforce Tower).** Some travel to the office is required, flexible**.**

**Company Overview**:  
At Mindworks, we're a funded, early-stage company working to build out a powerful business execution platform that re-imagines the ERP experience and how business users can create easy-to-use applications for their companies.

We’re creating a scalable cloud platform that empowers businesses to operate like never before. We're talking about the next generation of BX (Business Execution) products, and we're touching every corner of the business world. From sales, operations, accounting, finance, and customer service, we're on a mission to Elevate Every Operation for our customers! We're also baking in some cutting-edge AI features to allow our users to create intuitive apps without coding, making it much easier for regular users to get the data and information they need.

In addition to the app platform, we're redefining the ERP experience, making it lightning-fast to deploy, accessible for businesses of all sizes, super simple to customize, and a breeze to use.

We're not just another startup taking small steps. We're a funded team of passionate and experienced entrepreneurs with a track record of scaling successful companies.

Where you come in: we're on the hunt for talented Senior Backend Developers/Engineers ready to ride join and help build a product our users will love. This is your chance to shape our culture, ignite our growth, and in return, enjoy a competitive salary and equity package that rewards you for your contributions.

Interested? Ready to join a startup that's not just rewriting the rules but creating an indispensable solution for our customers for the future? Then join us at Mindworks, and let's build something amazing together!

**Key Responsibilities**

* Craft robust back-end systems using NodeJS, TypeScript, GraphQL, and Express.
* Work on innovative AI solutions and help engineer into the Mindworks platform
* Utilize AWS technologies, particularly Lambda and ECS Fargate.
* Engage in all software development stages, from conceptualization to deployment.
* Apply your knowledge of existing ERP systems to innovate and improve our Mindworks Cloud solution.

**Requirements**

* Experience in enterprise or B2B SaaS applications/platforms, preferably with knowledge of ERP solutions and/or accounting systems.
* Experience in other enterprise cloud applications like Salesforce, Sage, Oracle, SAP, MS Dynamics, Xero, Workday, Airtable and other low-code environments.
* Expertise in back-end development. Some prior front end experience will be helpful, but this role is primarily for backend development.
* Familiarity with AWS cloud services.
* Experience with relational database technologies (i.e. MySQL, Postgres, Aurora, PlanetScale, and/or others)
* Strong analytical and problem-solving skills, adaptable to a dynamic startup environment.
* Excellent communication skills and a collaborative mindset.
* 12+ Years of senior-level engineering experience.

**What We Offer:**

* Salary: Competitive Salary + Equity Package
* Equity Package: Share in our growth and success.
* Work Flexibility: Opt for in-office or hybrid arrangements in the SF Bay Area (Our office is in Salesforce Tower). We do REQUIRE that candidates be based in the San Francisco Bay Area.
* Innovative Environment: Be part of a forward-thinking team in a stimulating workspace.
* Job Type: Full-time, salaried position. Hybrid or in-office (negotiable) must be in the San Francisco area

**Job Description**:

As a Backend Engineer, you'll be at the forefront of developing the Mindworks Cloud ERP solution. You'll leverage your understanding of existing ERP or Enterprise systems to create superior, intuitive solutions for our customers.

**How to Apply**:

If Mindworks' vision excites you, we would love to consider your application. Please send your resume and a brief cover letter to careers@mindworks.com.

Mindworks is committed to diversity and inclusivity in our team. We welcome applicants from all backgrounds. Be a part of our journey at Mindworks as we challenge the status quo in the ERP industry. We're eager to welcome a new member to our innovative team!

**Job Type**: Full-time  
**Salary**: Competitive + Equity

Job Type: Full-time

Pay: $100,000.00 - $300,000.00 per year

Benefits:

* 401(k)
* Health insurance

Compensation package:

* Employee stock ownership plan
* RSU
* Stock options
* Yearly pay

Experience level:

* 8 years

Schedule:

* Monday to Friday

Ability to Relocate:

* San Francisco, CA 94105: Relocate before starting work (Required)

Work Location: Hybrid remote in San Francisco, CA 94105","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269138542","","Software Developer","WinWire","Foster City, CA","","2024-05-08","yearly",115000.0,115000.0,"USD",False,"","H-1B non-immigrant workers are being sought by WinWire Technologies, Inc. through the filing of a labour condition application with the Employment and Training Administration of the U.S. Department of Labour.


**Employment Information:**


1. Location of Employment (City, State): **333 Lakeside Drive, Foster City, CA 94404**  


2. H-1B Job Title: **Software Developer**  


3. Occupation Code: **15-1252 (Software Developers)**  


3. Period of Employment (mm/dd/year to mm/dd/year): **10/01/2024 to 09/30/2027**  


4. Occupational Classification Code: **030**  


5. Total # of H-1B Non-immigrant: **001**  


6. Range of Wage Rate Offered/Wage Offered ($): **$115,000.00 per year**  




**Note:**


1. The labor condition application is available for public inspection at the offices of WinWire Technologies, Inc., 5201 Great America Pkwy, Suite # 259, Santa Clara, CA 95054.


2. Complaints alleging misrepresentation of material facts in the labor condition application and/or failure to comply with the terms of the labor condition application may be filed with any office of the Wage and Hour Division of the United States Department of Labor.


3. Complaints alleging failure to offer employment to an equally or better qualified U.S. worker, or an employer’s misrepresentation regarding such offer(s) of employment, may be filed with the Department of Justice, 10th Street & Constitution Avenue, NW., Washington, DC 20530","https://www.glassdoor.com/Overview/W-EI_IE357810.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269270034","","Cyber and IT professionals","Corporate Gray","","","2024-05-08","","","","",True,"","Many of our clients are seeking **IT and cyber professionals** - especially those with military experience or security clearances!

**Here are some of the available positions:**

* Cyber Security Architect
* Information System Security Officer (Industrial Control Systems)
* Senior Systems Engineer
* Information Technology Specialist
* Cybersecurity Specialist
* IT Operations Manager
* Cyber Security Engineer
* IT Product Owner
* F-35 Information System Security Manager
* Cloud Cyber Engineer
* Senior Project Manager IT
* Cyber Security Analyst
* Technical Program Manager
* Cyber Security Defense Analyst
* Information Systems Security Manager
* Cyber Security Fusion Analyst
* Supervisory IT Specialist
* Cyber Security Watch Officer
* Senior IT Software Engineer
* Cyber Test and Exploitation Staff
* Cyber Incident Response Analyst
* IT Support Team Lead
* Cyber Network Defense Analyst
* Professional Cloud and IT Sales Manager
* Cyber Countermeasures Engineer
* Linux/IT Database Administrator
* IT Network Assistant Manager
* Technical Writer
* Senior ERP/Java Developer
* IT Systems Administrator
* Computer Operator
* Software Engineer
* and many more!

**You are invited to meet with our clients at a free nationwide military-friendly virtual career event on Thursday, May 23, from 11 am until 2 pm** (Eastern Time). Don't miss this opportunity to interact with a diverse group of employers:

* Leidos
* Lockheed Martin
* LMI
* Garmin
* DAI Global
* Navy Systems Management Activity
* LexisNexis
* Los Alamos National Laboratory
* National Security Agency
* GTSC Talent Solutions
* and more!

**Eligibility:** Especially geared for the military community. Transitioning military members, veterans, and their spouses are encouraged to attend. Many participating employers require U.S. citizenship and/or cleared (or clearable) candidates.

**Candidate preregistration is free** – and required! To participate, **please copy and paste the link below into your browser** (Chrome is recommended) to visit the eCareerFairs site and register for this May 23 event:

https://www.ecareerfairs.com/JobSeeker/ViewEventLobby.asp?EventID=9475

Job Type: Full-time

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Employee assistance program
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE7460051.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009268730936","","Software Engineer II, Android","Disney Entertainment & ESPN Technology","San Francisco, CA","","2024-05-08","yearly",112000.0,151000.0,"USD",False,"","On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and sports content, every day is a moment to make a difference to partners and to hundreds of millions of people around the world.

* **Building the future of Disney’s media business:** DE&E Technologists are designing and building the infrastructure that will power Disney’s media, advertising, and distribution businesses for years to come.
* **Reach & Scale:** The products and platforms this group builds and operates delight millions of consumers every minute of every day – from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.
* **Innovation:** We develop and execute groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.


The Product & Data Engineering team is responsible for end to end development for Disney’s world-class consumer-facing products, including streaming platforms Disney+, Hulu, and ESPN+, and digital products & experiences across ESPN, Marvel, Disney Studios, NatGeo, and ABC News. The team drives innovation at scale for millions of consumers around the world across Apple, Android, Smart TVs, game consoles, and the web, with our platforms powering core experiences like personalization, search, messaging and data.

  

As an Android Software Engineer focused on fantasy sports you will be part of a diverse and talented organization focused on building and maintaining complex Android applications for ESPN.com. You will be a member of a team creating mobile applications for the world’s #1 fantasy sports products, using Java/Kotlin to develop elegant solutions for new product features and core app architecture.

  

If you:

* Demonstrate determination in finding solutions to complex puzzles
* Have the curiosity to research and learn new technologies
* Employ positive thinking and are able to work constructively in a diverse team setting
* Are passionate about app development
* Value learning and being exposed to new experiences
* Love working in a startup culture

  

  

then working at Disney is unlike anything else. We have the latest technology, game-changing ideas, and world-class talent. Come be a part of our team and help us find new ways to interact with users, however and wherever they connect with our brands.  

  

**Responsibilities**

* Develop features and provide support for fantasy-related apps used by millions of fans
* Expand and enhance core app functionality using Java/Kotlin
* Implement best practices to continually increase performance and scalability
* Work with product and project management to refine specs and timelines
* Partner with other engineering teams to deliver best solutions

  

  

**Basic Qualifications**

* Experience working on a significant consumer app that is currently available in marketplace
* Strong understanding of OO design patterns and concepts
* A sound understanding of HTTP and REST-style web services
* Solid understanding of Android app development life cycle including Google Play and Amazon App Store compliance policies and submissions requirements
* Experience with unit test frameworks and continuous integration systems
* Write efficient, reliable, and maintainable code whether implementing architectural improvements, user-facing features, or fixing defects
* Troubleshoot and resolve issues, problems, and errors encountered across our various platforms
* Analyze and optimize application code for efficiency, reliability and performance
* Demonstrated ability to research and learn new technologies
* Strong communication skills and attention to detail
* Driven and self motivated
* Minimum 3+ years relevant industry experience with Android on all OS versions
* BS, BA, or advanced degree in computer science, engineering .


#DisneyTech

  

The hiring range for this position in San Francisco, California is $123,400 - $165,400 per year and in New York and Seattle, Washington is $118,000 - $158,200 per year and in Bristol, Connecticut is $112,000 - $151,000 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.","https://www.glassdoor.com/Overview/W-EI_IE717.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009268730935","","Software Engineer II, IOS","Disney Entertainment & ESPN Technology","San Francisco, CA","","2024-05-08","yearly",112000.0,151000.0,"USD",False,"","On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and sports content, every day is a moment to make a difference to partners and to hundreds of millions of people around the world.

* **Building the future of Disney’s media business:** DE&E Technologists are designing and building the infrastructure that will power Disney’s media, advertising, and distribution businesses for years to come.
* **Reach & Scale:**The products and platforms this group builds and operates delight millions of consumers every minute of every day – from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.
* **Innovation:**We develop and execute groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.


The Product & Data Engineering team is responsible for end-to-end development for Disney’s world-class consumer-facing products, including streaming platforms Disney+, Hulu, and ESPN+, and digital products & experiences across ESPN, Marvel, Disney Studios, NatGeo, and ABC News. The team drives innovation at scale for millions of consumers around the world across Apple, Android, Smart TVs, game consoles, and the web, with our platforms powering core experiences like personalization, search, messaging and data.

  

As an iOS Software Engineer focused on fantasy sports you will be part of a diverse and talented organization focused on building and maintaining complex iOS applications for ESPN.com. You will be a member of a team creating mobile applications for the world’s #1 fantasy sports products, using SwiftUI and UIKit to develop elegant solutions for new product features and core app architecture.

  

If you:

* Demonstrate determination in finding solutions to complex puzzles
* Have the curiosity to research and learn new technologies
* Employ positive thinking and are able to work constructively in a diverse team setting
* Are passionate about app development
* Value learning and being exposed to new experiences
* Love working in a startup culture

  

  

then working at Disney is unlike anything else. We have the latest technology, game-changing ideas, and world-class talent. Come be a part of our team and help us find new ways to interact with users, however and wherever they connect with our brands.  

  

**Responsibilities**

* Develop features and provide support for fantasy-related apps used by millions of fans
* Expand and enhance core app functionality using SwiftUI and UIKit
* Implement best practices to continually increase performance and scalability
* Work with product and project management to refine specs and timelines
* Partner with other engineering teams to deliver best solutions

  

  

**Basic Qualifications**

* Experience working on a significant consumer app that is currently available in the app store
* Strong understanding of OO design patterns and concepts
* A sound understanding of HTTP and REST-style web services
* Solid understanding of iOS app development life cycle including Apple compliance policies and submissions requirements
* Familiarity with WKWebview
* Experience with unit test frameworks and continuous integration systems
* Write efficient, reliable, and maintainable code whether implementing architectural improvements, user-facing features, or fixing defects
* Troubleshoot and resolve issues, problems, and errors encountered across our various platforms
* Analyze and optimize application code for efficiency, reliability and performance
* Demonstrated ability to research and learn new technologies
* Strong communication skills and attention to detail
* Driven and self-motivated
* Minimum 2+ years relevant industry experience with iOS on all OS versions
* BS, BA, or advanced degree in computer science, engineering or its equivalent.


#DisneyTech

  

The hiring range for this position in San Francisco, CA is $123,400 - $165,400 per year, and in Seattle, WA and New York is $118,000 - $158,200 per year, and in Bristol, CT is $112,000 - $151,000 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered","https://www.glassdoor.com/Overview/W-EI_IE717.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269069108","","Controls Software Engineer (Solar Industry)","Nevados","Oakland, CA","","2024-05-08","yearly",75000.0,150000.0,"USD",False,"","**Position Overview:**
The Controls Software Engineer will be part of the engineering team responsible for the design, manufacturing, commissioning, and maintenance of the controls system for the Nevados All-Terrain Tracker. This role will be focused on the central nodes of the controls network: the Zone Controller (ZC). Zone Controllers communicate to Nevados trackers and weather stations on-site, aggregate information and control, and communicate back to our cloud-based dashboard or directly to our customers. As we scale, the reliability, self-healing, self-organization, performance, and observability of the control system must be improved, and the Zone Controller is a key part of the solution. Maintaining and improving the Zone Controller requires a strong expertise in embedded Linux, Python, and wired/wireless networking.  

This is a hybrid position. Candidates are expected to be in office at our HQ in Oakland at least once weekly and as needed to work on hardware. This role also involves early morning on-call availability to align with east coast business hours. Ideal candidates will be able to accommodate this schedule.
### **Responsibilities**

* Maintaining and developing Zone Controller software
* Maintaining and developing Yocto Linux base images
* Maintaining and developing build scripts for site-specific Zone Controller images
* Collaborating with our software team on improvements to our dashboard
* Testing, deploying, and automating deployment of device firmware
* Testing and improving wireless communications
* Assisting customers and our field service team on the installation, configuration, and maintenance of Zone Controllers
* Improving systems to automate the installation, configuration, and maintenance of the controls devices
* Investigating, debugging, and troubleshooting issues in the field, on-site and remotely

### **Required Qualifications**

* Experience developing software for industrial controller applications
* Experience configuring and debugging embedded Linux
* Familiarity with data encryption, firewalls, and VPNs

### **Preferred Qualifications**

* Experience writing Python in embedded environments
* Familiarity with good working practices for remote, hard-to-access devices
* Familiarity with relational and time-series databases
* Experience with our technology stack: Zigbee (XBee), Single Board Computers (SBC), Yocto, Mender, MQTT, Modbus
* Experience creating and documenting command line applications for field service or customer use","https://www.glassdoor.com/Overview/W-EI_IE8218719.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269369776","","Principal Software Engineer, Payroll Services","Gusto, Inc.","San Francisco, CA","","2024-05-08","yearly",215000.0,239000.0,"USD",False,"candidate-accommodations@gusto.com","**About Gusto**



Gusto is a modern, online people platform that helps small businesses take care of their teams. On top of full-service payroll, Gusto offers health insurance, 401(k)s, expert HR, and team management tools. Today, Gusto offices in Denver, San Francisco, and New York serve more than 300,000 businesses nationwide.



Our mission is to create a world where work empowers a better life, and it starts right here at Gusto. That's why we're committed to building a collaborative and inclusive workplace, both physically and virtually. Learn more about our Total Rewards philosophy.

**About the Role:**



We're hiring seasoned engineers to join our teams that work on core platform capabilities, improving our existing systems for extensibility and scalability, and building the future of Gusto's Payroll system. As a Gusto Software Engineer at this level, you'll be guiding projects end-to-end by influencing initial feature specs, understanding how to take existing systems closer to desired end states, executing on projects, and maintaining code that powers core experiences. If you're interested in building elegant software with far-reaching effects in our modern economy, join us!


**About the Team:**



Payroll is the beating heart of Gusto's business. Payroll Services teams are responsible for the product, ops, and service components Gusto uses to onboard customers, process payrolls, calculate taxes & deductions, pay and file with tax agencies, and maintain compliance on behalf of the customers. The domain is highly complex and offers the opportunity to engage in system design that simplifies this for customers, both internal and external.


**Here's what you'll do day-to-day:**


* **Design, build, and test** the foundation that supports compliant payroll for millions of people
* **Help scale** one of the largest Ruby/Rails and TypeScript/React applications in the world
* **Collaborate on complex and ambiguous problems** with partnerships from Engineering, Product Management, Design, Data Science, Compliance, Operations, and other cross-functional teams
* **Build the software platform** that powers multiple 1st and 3rd party products and serves millions of businesses.
* **Mentor and grow fellow engineers** working to create holistic and scalable solutions
* **Drive the product development process** from concept to launch, delivering delightful products that make payroll, taxes, and compliance simple and easy
* **Improve the productivity and happiness of our teams** with the services, tools, and APIs you build.
* **Engage in a highly supportive environment** working with others to drive productivity and innovation
* Continuously stay up-to-date with advancements in **AI and Machine Learning**, applying this knowledge to our projects.


**Here's what we're looking for:**


* Successful applicants typically have at least 15 years of experience
* Experience influencing/guiding the work of multiple teams on projects
* Experience architecting, building, and testing large-scale distributed systems
* Experience as a technical lead, overseeing the work of multiple teams on projects
* An aptitude and interest in bringing clarity and simplicity to complex and ambiguous problems
* Experience operationalizing and scaling large interconnected production systems
* Ability to communicate technical complexity and help facilitate informed tradeoffs
* Enthusiasm for a collaborative, test-driven environment
* Able to build maintainable, structured, well-documented code
* Experience in one of these would be nice, but not required:
+ HR, Payroll, Payments, Fintech, or Tax products
+ AI/Machine Learning

Our cash compensation amount for this role is targeted at $215,000/yr to $239,000/yr in Denver & most remote locations, and $250,000/yr to $280,000/yr for San Francisco & New York. Stock equity is additional. Final offer amounts are determined by multiple factors including candidate experience and expertise and may vary from the amounts listed above.



Gusto has physical office spaces in Denver, San Francisco, and New York City. Employees who are based in those locations will be expected to work from the office on designated days approximately **2-3 days** per week (or more depending on role). The same office expectations apply to all Symmetry roles, Gusto's subsidiary, whose physical office is in Scottsdale.



Note: The San Francisco office expectations encompass both the San Francisco and San Jose metro areas.



When approved to work from a location other than a Gusto office, a secure, reliable, and consistent internet connection is required.



Our customers come from all walks of life and so do we. We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. If you share our values and our enthusiasm for small businesses, you will find a home at Gusto.



Gusto is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Gusto considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Gusto is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you require assistance in filling out a Gusto job application, please reach out to candidate-accommodations@gusto.com.","https://www.glassdoor.com/Overview/W-EI_IE1069704.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009268938333","","Full Stack Software Engineer","Coppersmith Recruitment and Services","San Francisco, CA","","2024-05-08","yearly",160000.0,160000.0,"USD",False,"","*Coppersmith Recruitment and Services Inc. is hiring for a Full Stack Software Engineer role on behalf of their client, a trailblazing startup focused on revolutionizing healthcare through innovative technology solutions. Specializing in integrating AI with medical imaging, they aim to enhance diagnostic accuracy and patient care.*

**About the Role:**

We are seeking a pioneering Full Stack Software Engineer with expertise in PACS (Picture Archiving and Communication System) and DICOM (Digital Imaging and Communications in Medicine) standards. This role involves designing, developing, and managing software solutions that interface with medical imaging equipment and data.

**Responsibilities:**

* Develop and maintain the web-based platform for radiological image processing and analysis.
* Implement, test, and optimize PACS/DICOM solutions for image storage, retrieval, and distribution.
* Collaborate with cross-functional teams to ensure seamless integration of AI technology with existing medical imaging workflows.
* Ensure high performance, reliability, and scalability of the platform across multiple devices and operating systems.
* Stay updated on the latest developments in medical imaging technology and software engineering practices.

Job Type: Full-time

Pay: Up to $160,000.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Schedule:

* Day shift
* Monday to Friday

Experience:

* JavaScript, Python, React, Node: 1 year (Required)
* PACS/DICOM: 1 year (Required)

Ability to Relocate:

* San Francisco, CA: Relocate before starting work (Required)

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE5711770.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269694882","","Sr Software Engineer - Machine Learning","Uber","San Francisco, CA","","2024-05-08","yearly",185000.0,185000.0,"USD",False,"","**About the Role**
  

  

Promotions and discounts have become key components of modern e-commerce platforms. The Marketplace Consumer Incentives team is largely responsible for Uber's profitability and growth through the most efficient incentive structures across all business lines like Uber Rides and Uber Eats. The team heavily invests in machine learning, causal inference, constrained optimization, distributed system, etc to optimize/personalize incentive structures to increase consumer engagement. The team is critical in fostering a healthy ecosystem and in providing a pleasant and sticky experience for Uber's customers. With Uber scale promo flowing through the system and c-level visibility, the impact is the last thing you need to worry about if you work on the right problem in this domain. The team has a history of delivering tremendous growth impact for Uber!
  

  

**What the Candidate Will Need / Bonus Points**
- What the Candidate Will Do -* Build world-class, large-scale incentives ML systems, and pioneer on end-to-end user incentives experience.
* Innovate and productionize start-of-the-art incentives ML models, and customize for Uber's use cases.
* Collaborate with cross-functional incentive stakeholders, and drive user incentive experience innovations


- Basic Qualifications -* 2 years minimum of industry experience with a PhD in relevant fields (CS, EE, Math, Stats, Physics, etc.) or 5 years minimum of industry experience with a Masters Degree in a relevant field.
* Experience building and productionizing innovative end-to-end Machine Learning systems.
* Experience with ML frameworks such as PyTorch and TensorFlow.
* Expertise in deep learning, recommendation systems, or optimization algorithms.
* Proficiency in one or more coding languages such as Python, Java, Go, or C++.
* Experience with any of the following: Spark, Hive, Kafka, Cassandra.


- What the Candidate Will Do -* Experience in Machine Learning, Statistics, Optimization, and/or Data Mining.
* Experience in simplifying/converting business problems into ML problems.
* Experience developing complex software systems scaling to millions of users with production quality deployment, monitoring and reliability.
* Experience presenting at industry recognized ML conferences and a good publishing record

  

For San Francisco, CA-based roles: The base salary range for this role is USD$185,000 per year - USD$205,500 per year. For Sunnyvale, CA-based roles: The base salary range for this role is USD$185,000 per year - USD$205,500 per year. For all US locations, you will be eligible to participate in Uber's bonus program, and may be offered an equity award & other types of comp. You will also be eligible for various benefits. More details can be found at the following link https://www.uber.com/careers/benefits.","https://www.glassdoor.com/Overview/W-EI_IE575263.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009269382163","","Senior Frontend Engineer - Web Platform","Verkada","San Mateo, CA","","2024-05-08","yearly",130000.0,280000.0,"USD",False,"","### **Who We Are**


Verkada is the largest cloud-based B2B physical security platform company in the world. Only Verkada offers six product lines — video security cameras, access control, environmental sensors, alarms, workplace and intercoms — integrated with a single cloud-based software platform.

Designed with simplicity and scalability in mind, Verkada gives organizations the real-time insight to know what could impact the safety and comfort of people throughout their physical environment, while empowering them to take immediate action to minimize security risks, workplace frustrations and costly inefficiencies.

Founded in 2016 with more than $460M in funding raised to date, Verkada has expanded rapidly with 16 offices across three continents, 1,700+ full-time employees and 20,000+ customers across 70+ countries.
**Overview**



We are actively looking for experienced front-end engineers to join the Core team. As a member of the Core team, you will be the architect, designer, and developer in a broad range of projects. You will work closely with Product, Design, and Engineers to develop great user experiences - not just features - and to help build and scale a web-based platform that will support a suite of connected devices for enterprise customers at scale.


**You will:**


* Work with Product & Design to plan, build, and iterate on best-in-class user experiences.
* Build shared components that help maintain design consistency and enable fellow teammates to move faster.
* Invest in front-end architecture and performance to enable the team and product to scale.


**Education and Experience:**


* 4+ years of relevant industry experience.
* Experience working with modern web technologies such as React, Angular.js, TypeScript, Webpack, etc.
* Experience building complex single-page applications.
* Degree in Computer Science or similar technical field of study.


**Perks and Benefits:**


* Generous company paid medical, dental & vision insurance coverage
* Unlimited paid time off & 11 companywide paid holidays
* Wellness allowance Commuter benefits
* Healthy lunches and dinners provided daily
* Generous paid parental leave policy & fertility benefits

### **Verkada Is An Equal Opportunity Employer**



As an equal opportunity employer, Verkada is committed to providing employment opportunities to all individuals. All applicants for positions at Verkada will be treated without regard to race, color, ethnicity, religion, sex, gender, gender identity and expression, sexual orientation, national origin, disability, age, marital status, veteran status, pregnancy, or any other basis prohibited by applicable law.","https://www.glassdoor.com/Overview/W-EI_IE2153775.htm","","","","","","","","","",""
